date,product_id,product_name,price,demand,day_of_week,discount,rating,sentiment_score,competitor_price
2023-12-16,P1,Wireless Earbuds,301.94,66,Saturday,10,4.96,0.98,315.5
2024-08-26,P1,Wireless Earbuds,301.71,5,Monday,5,4.94,1.03,273.23
2024-01-28,P1,Wireless Earbuds,278.54,66,Sunday,15,3.73,0.11,258.94
2024-05-02,P1,Wireless Earbuds,258.12,101,Thursday,20,4.61,0.75,285.41
2023-09-04,P1,Wireless Earbuds,290.25,5,Monday,10,4.64,0.66,281.6
2023-08-06,P1,Wireless Earbuds,314.11,5,Sunday,5,3.76,0.16,312.52
2023-01-23,P1,Wireless Earbuds,317.84,5,Monday,5,3.57,0.02,325.94
2023-11-21,P1,Wireless Earbuds,254.61,159,Tuesday,20,4.46,0.55,228.85
2023-06-09,P1,Wireless Earbuds,306.84,5,Friday,10,4.36,0.5,317.47
2023-09-25,P1,Wireless Earbuds,307.43,5,Monday,10,3.81,0.16,316.52
2023-01-12,P1,Wireless Earbuds,300.53,5,Thursday,5,4.0,0.37,307.62
2024-02-22,P1,Wireless Earbuds,291.27,5,Thursday,10,4.55,0.72,268.36
2024-02-17,P1,Wireless Earbuds,278.81,89,Saturday,15,4.32,0.53,306.86
2023-04-09,P1,Wireless Earbuds,277.43,82,Sunday,15,4.01,0.43,294.01
2023-02-06,P1,Wireless Earbuds,279.14,39,Monday,15,4.63,0.68,294.19
2024-12-29,P1,Wireless Earbuds,276.59,96,Sunday,20,3.52,0.09,269.94
2023-03-17,P1,Wireless Earbuds,325.48,5,Friday,0,4.93,0.97,352.49
2023-04-09,P1,Wireless Earbuds,276.13,111,Sunday,15,4.63,0.81,286.48
2024-07-22,P1,Wireless Earbuds,277.65,79,Monday,20,4.99,0.91,306.11
2024-10-19,P1,Wireless Earbuds,286.91,119,Saturday,15,4.8,0.93,307.13
2023-06-23,P1,Wireless Earbuds,256.4,67,Friday,20,4.84,0.82,250.2
2024-10-09,P1,Wireless Earbuds,260.84,130,Wednesday,20,4.92,1.04,279.61
2023-05-12,P1,Wireless Earbuds,277.56,63,Friday,15,4.67,0.79,252.57
2023-02-08,P1,Wireless Earbuds,290.43,5,Wednesday,10,4.36,0.62,284.74
2024-03-31,P1,Wireless Earbuds,274.41,72,Sunday,20,4.52,0.63,289.06
2024-02-13,P1,Wireless Earbuds,322.61,5,Tuesday,0,3.52,0.11,350.41
2023-05-29,P1,Wireless Earbuds,279.51,102,Monday,20,4.33,0.65,253.94
2024-06-09,P1,Wireless Earbuds,334.73,5,Sunday,0,4.85,0.81,339.79
2023-01-12,P1,Wireless Earbuds,327.87,5,Thursday,5,4.18,0.48,351.29
2023-03-31,P1,Wireless Earbuds,306.24,5,Friday,5,4.04,0.31,292.2
2024-05-16,P1,Wireless Earbuds,324.3,5,Thursday,0,4.4,0.56,318.97
2024-12-09,P1,Wireless Earbuds,328.45,5,Monday,0,4.8,0.78,354.42
2023-04-29,P1,Wireless Earbuds,339.23,5,Saturday,0,4.98,0.96,338.06
2024-11-19,P1,Wireless Earbuds,251.63,120,Tuesday,20,3.7,0.04,223.84
2024-06-01,P1,Wireless Earbuds,290.66,49,Saturday,15,4.99,1.01,320.64
2023-03-19,P1,Wireless Earbuds,319.78,5,Sunday,0,4.41,0.55,347.02
2024-05-02,P1,Wireless Earbuds,310.1,5,Thursday,5,4.51,0.68,286.92
2023-09-25,P1,Wireless Earbuds,332.46,5,Monday,0,4.81,0.86,336.12
2024-09-15,P1,Wireless Earbuds,268.33,33,Sunday,20,3.82,0.14,280.58
2024-03-10,P1,Wireless Earbuds,309.81,7,Sunday,5,4.68,0.76,310.65
2023-04-16,P1,Wireless Earbuds,303.74,5,Sunday,10,4.19,0.53,321.53
2024-03-25,P1,Wireless Earbuds,256.0,66,Monday,20,4.01,0.35,260.78
2024-10-24,P1,Wireless Earbuds,286.98,5,Thursday,10,3.77,0.15,295.43
2023-04-03,P1,Wireless Earbuds,317.42,5,Monday,5,4.73,0.79,300.85
2024-11-12,P1,Wireless Earbuds,250.68,92,Tuesday,20,4.3,0.51,253.6
2023-09-06,P1,Wireless Earbuds,336.54,5,Wednesday,0,3.74,0.13,337.24
2023-12-03,P1,Wireless Earbuds,325.41,5,Sunday,5,4.4,0.69,300.48
2024-06-09,P1,Wireless Earbuds,322.16,5,Sunday,5,4.58,0.63,324.03
2024-11-29,P1,Wireless Earbuds,304.22,5,Friday,10,4.27,0.52,327.93
2023-01-15,P1,Wireless Earbuds,338.03,5,Sunday,0,4.35,0.63,318.96
2023-03-27,P1,Wireless Earbuds,315.42,5,Monday,5,4.01,0.34,299.41
2023-05-26,P1,Wireless Earbuds,282.38,10,Friday,15,4.62,0.73,287.59
2024-08-17,P1,Wireless Earbuds,307.87,5,Saturday,5,4.47,0.66,299.66
2024-10-23,P1,Wireless Earbuds,254.31,102,Wednesday,20,3.74,0.1,239.07
2023-12-16,P1,Wireless Earbuds,318.31,5,Saturday,0,4.12,0.51,319.78
2023-03-16,P1,Wireless Earbuds,266.43,32,Thursday,15,4.24,0.54,294.93
2024-07-27,P1,Wireless Earbuds,337.46,5,Saturday,0,4.21,0.54,339.56
2024-06-15,P1,Wireless Earbuds,331.8,5,Saturday,0,4.65,0.69,344.23
2023-05-19,P1,Wireless Earbuds,275.89,67,Friday,15,4.05,0.36,281.52
2023-01-13,P1,Wireless Earbuds,302.0,5,Friday,5,3.5,-0.07,280.33
2024-07-03,P1,Wireless Earbuds,293.28,18,Wednesday,10,4.75,0.92,319.05
2023-05-17,P1,Wireless Earbuds,304.8,5,Wednesday,5,4.61,0.76,278.79
2023-12-15,P1,Wireless Earbuds,306.67,5,Friday,10,3.75,0.1,288.77
2024-02-14,P1,Wireless Earbuds,275.76,64,Wednesday,15,4.52,0.67,281.05
2024-09-07,P1,Wireless Earbuds,301.54,5,Saturday,10,4.16,0.45,303.92
2024-09-07,P1,Wireless Earbuds,299.1,5,Saturday,10,4.0,0.38,294.99
2024-07-07,P1,Wireless Earbuds,290.09,30,Sunday,15,4.3,0.61,297.29
2023-04-07,P1,Wireless Earbuds,257.18,67,Friday,20,3.55,0.05,271.82
2024-06-05,P1,Wireless Earbuds,276.03,92,Wednesday,20,4.73,0.74,266.55
2023-09-18,P1,Wireless Earbuds,256.6,86,Monday,20,4.58,0.75,269.94
2023-10-19,P1,Wireless Earbuds,306.91,5,Thursday,5,3.77,0.26,297.66
2023-12-12,P1,Wireless Earbuds,287.42,54,Tuesday,10,4.26,0.53,292.59
2024-09-14,P1,Wireless Earbuds,284.06,54,Saturday,15,4.88,0.98,260.19
2023-02-20,P1,Wireless Earbuds,252.85,130,Monday,20,4.87,0.84,273.28
2024-09-04,P1,Wireless Earbuds,254.69,79,Wednesday,20,4.76,0.8,235.87
2024-10-22,P1,Wireless Earbuds,338.23,5,Tuesday,0,4.68,0.81,320.57
2024-07-28,P1,Wireless Earbuds,282.39,29,Sunday,15,4.02,0.32,307.58
2023-06-28,P1,Wireless Earbuds,330.86,5,Wednesday,0,4.87,0.89,325.99
2023-03-04,P1,Wireless Earbuds,301.78,5,Saturday,10,4.5,0.6,272.57
2024-12-01,P1,Wireless Earbuds,324.89,5,Sunday,0,4.1,0.38,313.49
2024-12-23,P1,Wireless Earbuds,268.47,129,Monday,20,4.75,0.85,261.14
2023-07-13,P1,Wireless Earbuds,280.7,17,Thursday,15,4.65,0.69,280.52
2023-09-21,P1,Wireless Earbuds,251.99,110,Thursday,20,3.91,0.35,267.18
2023-02-24,P1,Wireless Earbuds,291.46,10,Friday,15,4.11,0.42,313.48
2024-03-18,P1,Wireless Earbuds,267.58,108,Monday,20,4.35,0.65,257.93
2023-04-06,P1,Wireless Earbuds,311.69,5,Thursday,10,3.71,0.12,338.36
2023-01-07,P1,Wireless Earbuds,301.93,5,Saturday,5,3.54,-0.04,284.4
2024-05-28,P1,Wireless Earbuds,340.43,5,Tuesday,0,3.89,0.24,330.94
2024-04-15,P1,Wireless Earbuds,291.19,17,Monday,15,4.66,0.75,281.9
2024-05-20,P1,Wireless Earbuds,270.47,55,Monday,15,4.23,0.57,292.58
2023-05-08,P1,Wireless Earbuds,330.45,5,Monday,0,4.61,0.78,331.2
2023-10-05,P1,Wireless Earbuds,295.47,23,Thursday,10,4.85,0.94,273.4
2023-03-16,P1,Wireless Earbuds,315.25,5,Thursday,5,4.25,0.41,334.15
2024-08-10,P1,Wireless Earbuds,250.05,84,Saturday,20,4.85,0.97,228.27
2023-06-17,P1,Wireless Earbuds,317.38,5,Saturday,5,3.76,0.26,327.28
2024-09-25,P1,Wireless Earbuds,304.35,5,Wednesday,5,3.62,0.1,318.63
2023-01-29,P1,Wireless Earbuds,274.84,110,Sunday,20,4.87,0.96,271.07
2023-02-24,P1,Wireless Earbuds,264.24,72,Friday,20,4.31,0.47,250.43
2023-09-01,P1,Wireless Earbuds,308.21,5,Friday,10,3.73,0.18,335.52
2023-10-23,P1,Wireless Earbuds,328.29,5,Monday,0,4.4,0.59,340.58
2023-05-11,P1,Wireless Earbuds,323.34,5,Thursday,5,3.91,0.29,335.02
2023-01-17,P1,Wireless Earbuds,320.08,5,Tuesday,5,3.63,0.18,321.35
2023-12-05,P1,Wireless Earbuds,272.5,101,Tuesday,20,4.46,0.73,285.94
2024-07-24,P1,Wireless Earbuds,300.91,5,Wednesday,5,3.57,0.06,311.1
2024-02-05,P1,Wireless Earbuds,316.4,5,Monday,5,3.55,0.07,341.33
2024-05-12,P1,Wireless Earbuds,311.14,5,Sunday,10,4.79,0.93,309.6
2024-02-06,P1,Wireless Earbuds,307.68,5,Tuesday,10,4.39,0.54,279.9
2023-07-02,P1,Wireless Earbuds,283.44,72,Sunday,15,4.31,0.57,301.68
2024-02-01,P1,Wireless Earbuds,314.96,5,Thursday,5,4.81,0.86,310.57
2023-09-08,P1,Wireless Earbuds,265.59,89,Friday,20,4.7,0.9,291.94
2023-01-29,P1,Wireless Earbuds,327.96,5,Sunday,0,4.44,0.7,326.76
2024-01-24,P1,Wireless Earbuds,323.07,5,Wednesday,0,4.03,0.31,299.7
2023-11-20,P1,Wireless Earbuds,306.37,5,Monday,5,3.53,0.12,278.89
2023-12-10,P1,Wireless Earbuds,272.82,70,Sunday,15,4.68,0.7,299.81
2024-12-10,P1,Wireless Earbuds,309.93,20,Tuesday,10,4.62,0.66,339.28
2023-11-06,P1,Wireless Earbuds,274.64,51,Monday,20,3.57,0.02,251.86
2024-05-20,P1,Wireless Earbuds,307.6,22,Monday,10,4.44,0.57,325.65
2024-07-26,P1,Wireless Earbuds,294.7,5,Friday,10,4.54,0.63,310.2
2023-06-09,P1,Wireless Earbuds,289.55,5,Friday,10,4.31,0.56,272.98
2024-09-08,P1,Wireless Earbuds,291.0,5,Sunday,10,3.57,0.11,289.6
2023-06-19,P1,Wireless Earbuds,325.78,5,Monday,0,4.6,0.69,351.67
2024-03-29,P1,Wireless Earbuds,256.33,67,Friday,20,3.61,0.15,267.33
2023-02-09,P1,Wireless Earbuds,264.14,100,Thursday,20,4.74,0.79,269.69
2023-10-16,P1,Wireless Earbuds,308.86,8,Monday,10,3.74,0.09,293.58
2023-12-29,P1,Wireless Earbuds,270.65,92,Friday,20,4.43,0.67,281.46
2023-12-29,P1,Wireless Earbuds,272.03,107,Friday,20,4.73,0.88,251.67
2024-06-07,P1,Wireless Earbuds,307.97,5,Friday,5,4.97,1.01,314.99
2023-12-31,P1,Wireless Earbuds,286.67,5,Sunday,10,3.53,0.0,273.67
2024-02-16,P1,Wireless Earbuds,271.65,61,Friday,15,4.68,0.72,286.88
2024-02-05,P1,Wireless Earbuds,313.57,5,Monday,5,3.61,0.15,287.04
2023-09-27,P1,Wireless Earbuds,263.1,99,Wednesday,20,4.39,0.57,271.96
2024-04-03,P1,Wireless Earbuds,299.39,5,Wednesday,5,4.2,0.56,278.93
2023-04-09,P1,Wireless Earbuds,275.35,99,Sunday,20,4.74,0.79,276.97
2023-03-25,P1,Wireless Earbuds,291.01,6,Saturday,10,3.73,0.14,318.06
2023-01-21,P1,Wireless Earbuds,268.88,96,Saturday,20,3.91,0.37,262.74
2024-06-10,P1,Wireless Earbuds,305.75,5,Monday,5,4.48,0.63,277.62
2023-09-28,P1,Wireless Earbuds,280.47,30,Thursday,15,3.78,0.26,308.56
2024-11-16,P1,Wireless Earbuds,322.19,5,Saturday,5,3.7,0.04,329.76
2024-01-13,P1,Wireless Earbuds,288.38,5,Saturday,10,3.5,0.02,286.1
2024-06-04,P1,Wireless Earbuds,320.73,5,Tuesday,0,3.99,0.34,329.82
2024-08-06,P1,Wireless Earbuds,312.35,5,Tuesday,10,4.2,0.5,291.32
2023-06-15,P1,Wireless Earbuds,303.66,5,Thursday,10,4.67,0.69,325.27
2023-08-02,P1,Wireless Earbuds,285.96,68,Wednesday,10,4.98,0.92,270.49
2024-10-21,P1,Wireless Earbuds,332.69,5,Monday,0,3.99,0.33,303.28
2024-08-11,P1,Wireless Earbuds,277.0,92,Sunday,15,4.97,0.92,266.33
2023-04-16,P1,Wireless Earbuds,269.41,80,Sunday,15,4.56,0.61,277.59
2023-03-14,P1,Wireless Earbuds,337.18,5,Tuesday,0,4.57,0.77,359.44
2023-01-07,P1,Wireless Earbuds,309.66,5,Saturday,10,4.73,0.81,312.51
2024-05-29,P1,Wireless Earbuds,320.83,5,Wednesday,0,4.59,0.74,317.14
2023-08-31,P1,Wireless Earbuds,309.23,5,Thursday,5,4.62,0.82,307.44
2023-11-05,P1,Wireless Earbuds,287.66,38,Sunday,10,4.48,0.62,258.92
2024-12-14,P1,Wireless Earbuds,303.22,56,Saturday,10,3.55,-0.02,277.55
2023-11-28,P1,Wireless Earbuds,341.95,5,Tuesday,0,4.61,0.73,355.58
2024-06-15,P1,Wireless Earbuds,267.47,41,Saturday,15,4.37,0.57,289.49
2023-04-27,P1,Wireless Earbuds,313.96,5,Thursday,5,4.85,0.89,336.37
2023-09-03,P1,Wireless Earbuds,256.04,80,Sunday,20,4.45,0.68,263.42
2024-06-03,P1,Wireless Earbuds,293.54,7,Monday,15,3.86,0.33,274.32
2024-07-06,P1,Wireless Earbuds,278.42,50,Saturday,15,4.37,0.61,284.0
2023-05-25,P1,Wireless Earbuds,292.18,38,Thursday,10,4.79,0.76,286.12
2024-11-06,P1,Wireless Earbuds,256.83,156,Wednesday,20,4.83,0.87,240.92
2024-08-14,P1,Wireless Earbuds,312.82,5,Wednesday,5,3.72,0.14,322.99
2023-11-09,P1,Wireless Earbuds,277.65,52,Thursday,15,4.04,0.36,283.98
2023-11-01,P1,Wireless Earbuds,337.07,5,Wednesday,0,4.8,0.88,333.85
2023-11-30,P1,Wireless Earbuds,303.05,5,Thursday,5,3.58,0.08,286.92
2023-02-04,P1,Wireless Earbuds,277.74,70,Saturday,20,4.26,0.42,266.71
2023-07-04,P1,Wireless Earbuds,297.48,5,Tuesday,10,3.71,0.05,307.49
2023-11-04,P1,Wireless Earbuds,305.42,5,Saturday,5,4.95,0.89,315.82
2024-05-31,P1,Wireless Earbuds,319.21,5,Friday,5,4.06,0.28,347.93
2023-05-25,P1,Wireless Earbuds,325.43,5,Thursday,5,3.55,0.12,329.66
2023-05-27,P1,Wireless Earbuds,269.73,96,Saturday,20,4.02,0.28,274.36
2024-12-04,P1,Wireless Earbuds,341.9,5,Wednesday,0,4.63,0.67,371.5
2024-09-01,P1,Wireless Earbuds,272.68,73,Sunday,20,4.16,0.52,298.22
2024-02-01,P1,Wireless Earbuds,325.42,5,Thursday,0,4.06,0.34,347.55
2023-03-06,P1,Wireless Earbuds,284.56,39,Monday,15,4.07,0.39,288.37
2024-02-21,P1,Wireless Earbuds,332.28,5,Wednesday,0,3.52,0.03,328.94
2023-01-03,P1,Wireless Earbuds,275.62,28,Tuesday,20,4.22,0.38,276.77
2023-06-03,P1,Wireless Earbuds,327.31,5,Saturday,0,4.37,0.59,321.24
2023-11-22,P1,Wireless Earbuds,320.82,5,Wednesday,5,4.73,0.81,322.1
2023-12-02,P1,Wireless Earbuds,276.66,111,Saturday,20,4.89,0.84,261.27
2023-11-30,P1,Wireless Earbuds,268.24,114,Thursday,20,4.51,0.76,269.63
2023-06-05,P1,Wireless Earbuds,300.24,5,Monday,10,4.58,0.7,275.62
2023-04-18,P1,Wireless Earbuds,323.35,5,Tuesday,5,3.94,0.35,304.43
2024-03-20,P1,Wireless Earbuds,326.89,5,Wednesday,5,3.63,0.15,322.36
2024-07-12,P1,Wireless Earbuds,282.89,5,Friday,10,4.27,0.53,291.17
2023-01-26,P1,Wireless Earbuds,335.3,5,Thursday,0,4.04,0.44,315.79
2023-10-20,P1,Wireless Earbuds,274.51,89,Friday,15,4.14,0.46,293.87
2023-05-26,P1,Wireless Earbuds,301.53,5,Friday,10,4.38,0.52,298.64
2024-09-22,P1,Wireless Earbuds,252.6,125,Sunday,20,4.46,0.66,224.01
2023-06-09,P1,Wireless Earbuds,289.77,5,Friday,10,4.39,0.59,283.23
2024-01-09,P1,Wireless Earbuds,271.25,115,Tuesday,20,4.99,0.92,282.8
2024-06-14,P1,Wireless Earbuds,288.0,5,Friday,15,3.91,0.19,292.7
2023-03-11,P1,Wireless Earbuds,334.42,5,Saturday,0,4.75,0.87,330.96
2024-03-03,P1,Wireless Earbuds,302.02,5,Sunday,10,4.39,0.63,288.29
2023-12-08,P1,Wireless Earbuds,329.18,5,Friday,5,4.34,0.6,338.89
2023-04-26,P1,Wireless Earbuds,268.93,47,Wednesday,15,4.45,0.69,296.63
2024-10-31,P1,Wireless Earbuds,340.56,5,Thursday,0,3.95,0.4,310.63
2024-05-29,P1,Wireless Earbuds,253.32,50,Wednesday,20,3.53,0.07,281.77
2023-10-13,P1,Wireless Earbuds,252.51,147,Friday,20,4.68,0.86,237.93
2024-04-04,P1,Wireless Earbuds,287.53,5,Thursday,15,3.95,0.26,259.7
2024-03-24,P1,Wireless Earbuds,307.57,9,Sunday,10,4.91,1.02,294.36
2023-09-19,P1,Wireless Earbuds,306.4,5,Tuesday,10,4.35,0.54,310.88
2024-11-08,P1,Wireless Earbuds,318.2,5,Friday,5,4.3,0.58,328.66
2023-03-08,P1,Wireless Earbuds,290.83,5,Wednesday,15,3.53,-0.05,280.18
2023-09-10,P1,Wireless Earbuds,343.59,5,Sunday,0,4.41,0.66,342.81
2024-01-16,P1,Wireless Earbuds,281.35,17,Tuesday,15,3.72,0.12,275.27
2024-08-30,P1,Wireless Earbuds,275.62,29,Friday,15,4.16,0.36,275.99
2024-01-25,P1,Wireless Earbuds,250.25,57,Thursday,20,4.05,0.34,256.41
2023-12-11,P1,Wireless Earbuds,313.9,5,Monday,5,4.43,0.58,329.15
2023-03-24,P1,Wireless Earbuds,320.17,5,Friday,0,3.95,0.22,297.46
2023-09-17,P1,Wireless Earbuds,296.17,32,Sunday,15,4.42,0.58,315.01
2024-02-24,P1,Wireless Earbuds,291.71,20,Saturday,15,4.69,0.77,305.17
2023-06-04,P1,Wireless Earbuds,280.72,73,Sunday,15,4.08,0.48,261.33
2023-07-02,P1,Wireless Earbuds,303.37,5,Sunday,5,4.69,0.81,298.49
2023-03-06,P1,Wireless Earbuds,250.09,130,Monday,20,4.96,1.04,234.56
2023-06-22,P1,Wireless Earbuds,277.41,26,Thursday,15,4.47,0.65,263.36
2024-05-24,P1,Wireless Earbuds,292.21,12,Friday,15,4.48,0.71,276.82
2024-03-11,P1,Wireless Earbuds,263.51,83,Monday,20,4.84,0.98,280.61
2023-05-09,P1,Wireless Earbuds,312.49,5,Tuesday,5,4.76,0.75,297.77
2023-08-20,P1,Wireless Earbuds,274.48,77,Sunday,20,4.08,0.38,274.21
2023-06-22,P1,Wireless Earbuds,285.99,5,Thursday,10,4.16,0.35,315.28
2023-07-19,P1,Wireless Earbuds,338.29,5,Wednesday,0,4.7,0.72,347.83
2023-08-20,P1,Wireless Earbuds,313.22,5,Sunday,5,4.96,1.06,342.71
2024-05-13,P1,Wireless Earbuds,276.91,36,Monday,15,4.32,0.62,271.64
2024-09-14,P1,Wireless Earbuds,293.24,6,Saturday,15,3.84,0.32,310.19
2024-04-07,P1,Wireless Earbuds,299.67,5,Sunday,5,3.89,0.17,285.0
2024-01-05,P1,Wireless Earbuds,323.32,5,Friday,5,4.97,1.0,310.89
2024-11-23,P1,Wireless Earbuds,270.97,63,Saturday,15,3.67,0.13,243.59
2023-05-04,P1,Wireless Earbuds,317.75,5,Thursday,5,3.86,0.16,344.33
2023-10-15,P1,Wireless Earbuds,309.42,5,Sunday,10,3.93,0.35,318.17
2024-02-01,P1,Wireless Earbuds,279.08,55,Thursday,20,4.34,0.49,293.97
2023-07-22,P1,Wireless Earbuds,290.89,8,Saturday,10,4.59,0.65,293.27
2024-07-15,P1,Wireless Earbuds,287.33,5,Monday,10,4.12,0.47,277.88
2023-12-19,P1,Wireless Earbuds,291.74,55,Tuesday,10,4.53,0.76,295.64
2023-04-21,P1,Wireless Earbuds,316.1,5,Friday,5,4.61,0.82,334.81
2023-04-14,P1,Wireless Earbuds,294.86,5,Friday,10,3.81,0.22,312.86
2023-03-07,P1,Wireless Earbuds,327.16,5,Tuesday,0,4.29,0.59,329.48
2023-11-10,P1,Wireless Earbuds,288.64,45,Friday,15,4.94,0.93,270.79
2023-03-11,P1,Wireless Earbuds,312.7,5,Saturday,10,4.17,0.49,304.8
2024-06-19,P1,Wireless Earbuds,286.95,5,Wednesday,10,3.5,-0.06,296.73
2023-09-30,P1,Wireless Earbuds,281.57,5,Saturday,15,3.66,0.05,294.98
2024-05-14,P1,Wireless Earbuds,267.85,32,Tuesday,15,4.4,0.62,267.05
2024-10-25,P1,Wireless Earbuds,272.1,81,Friday,20,3.81,0.27,301.02
2023-01-19,P1,Wireless Earbuds,254.15,88,Thursday,20,4.15,0.35,243.84
2023-10-30,P1,Wireless Earbuds,304.82,5,Monday,10,3.76,0.2,292.79
2024-10-21,P1,Wireless Earbuds,303.39,21,Monday,10,4.62,0.8,332.86
2024-09-10,P1,Wireless Earbuds,333.48,5,Tuesday,0,4.55,0.78,338.67
2024-07-16,P1,Wireless Earbuds,251.41,47,Tuesday,20,3.84,0.2,272.57
2023-03-15,P1,Wireless Earbuds,270.9,5,Wednesday,20,3.57,0.13,278.77
2024-10-02,P1,Wireless Earbuds,316.12,5,Wednesday,0,3.84,0.15,289.55
2024-07-01,P1,Wireless Earbuds,251.79,72,Monday,20,3.92,0.23,225.22
2023-06-12,P1,Wireless Earbuds,289.88,5,Monday,15,4.06,0.36,318.37
2023-08-16,P1,Wireless Earbuds,284.69,5,Wednesday,10,3.71,0.15,309.08
2024-06-02,P1,Wireless Earbuds,321.33,5,Sunday,5,3.69,0.2,324.23
2023-05-22,P1,Wireless Earbuds,330.74,5,Monday,0,3.72,0.19,359.51
2023-11-01,P1,Wireless Earbuds,292.08,20,Wednesday,10,4.95,0.9,318.9
2024-08-20,P1,Wireless Earbuds,331.61,5,Tuesday,0,4.79,0.9,308.49
2024-11-11,P1,Wireless Earbuds,332.21,5,Monday,0,4.19,0.46,307.11
2023-04-08,P1,Wireless Earbuds,302.34,5,Saturday,10,3.59,0.06,305.07
2024-07-24,P1,Wireless Earbuds,328.7,5,Wednesday,5,4.25,0.47,346.34
2023-03-09,P1,Wireless Earbuds,281.85,70,Thursday,15,4.82,0.95,264.14
2024-08-26,P1,Wireless Earbuds,311.21,5,Monday,10,4.63,0.76,314.82
2023-02-13,P1,Wireless Earbuds,327.63,5,Monday,0,4.06,0.36,345.53
2024-01-14,P1,Wireless Earbuds,302.16,5,Sunday,5,3.79,0.13,298.63
2023-10-24,P1,Wireless Earbuds,274.56,51,Tuesday,15,4.46,0.58,263.3
2023-08-26,P1,Wireless Earbuds,304.1,5,Saturday,5,4.69,0.76,315.85
